ts,timestamp,zone,people_now,total_ids_seen_in_zone,tracked_ids,zone_timer_sec,zone_timer_hhmmss,zone_occupied_duration_sec,zone_occupied_duration_hhmmss,current_owner_id,current_session_start_time,current_session_duration_sec,is_valid_machine_usage,multi_person_detected,last_completed_session_duration_sec,completed_sessions_count,avg_completed_session_duration_sec,current_longest_usage_time_sec,estimated_waiting_time_sec
1773686981.835,2026-03-17 02:49:41,equipment_b,0,0,,0.000,00:00:00,0.000,00:00:00,,,0.000,0,0,0.000,0,0.000,0.000,0.000
1773686982.964,2026-03-17 02:49:42,equipment_a,1,1,1,2.031,00:00:02,2.031,00:00:02,1,,0.000,0,0,2.031,1,2.031,0.000,0.000
1773686982.964,2026-03-17 02:49:42,equipment_b,0,0,,0.000,00:00:00,0.000,00:00:00,,,0.000,0,0,0.000,0,0.000,0.000,0.000
1773686983.985,2026-03-17 02:49:43,equipment_a,1,1,1,2.031,00:00:02,2.031,00:00:02,1,,0.000,0,0,2.031,1,2.031,0.000,0.000
1773686983.985,2026-03-17 02:49:43,equipment_b,0,0,,0.000,00:00:00,0.000,00:00:00,,,0.000,0,0,0.000,0,0.000,0.000,0.000
1773686985.128,2026-03-17 02:49:45,equipment_a,1,1,1,2.031,00:00:02,2.031,00:00:02,1,,0.000,0,0,2.031,1,2.031,0.000,0.000
1773686985.128,2026-03-17 02:49:45,equipment_b,0,0,,0.000,00:00:00,0.000,00:00:00,,,0.000,0,0,0.000,0,0.000,0.000,0.000
1773686986.237,2026-03-17 02:49:46,equipment_a,1,1,1,2.031,00:00:02,2.031,00:00:02,1,,0.000,0,0,2.031,1,2.031,0.000,0.000
1773686986.237,2026-03-17 02:49:46,equipment_b,0,0,,0.000,00:00:00,0.000,00:00:00,,,0.000,0,0,0.000,0,0.000,0.000,0.000
1773686987.257,2026-03-17 02:49:47,equipment_a,1,1,1,2.031,00:00:02,2.031,00:00:02,1,,0.000,0,0,2.031,1,2.031,0.000,0.000
1773686987.257,2026-03-17 02:49:47,equipment_b,0,0,,0.000,00:00:00,0.000,00:00:00,,,0.000,0,0,0.000,0,0.000,0.000,0.000
1773686988.304,2026-03-17 02:49:48,equipment_a,1,1,1,2.031,00:00:02,2.031,00:00:02,1,,0.000,0,0,2.031,1,2.031,0.000,0.000
1773686988.304,2026-03-17 02:49:48,equipment_b,1,1,4,0.000,00:00:00,0.000,00:00:00,4,,0.000,0,0,0.000,0,0.000,0.000,0.000
1773686989.492,2026-03-17 02:49:49,equipment_a,1,1,1,2.031,00:00:02,2.031,00:00:02,1,,0.000,0,0,2.031,1,2.031,0.000,0.000
1773686989.492,2026-03-17 02:49:49,equipment_b,1,1,4,0.000,00:00:00,0.000,00:00:00,4,,0.000,0,0,0.000,0,0.000,0.000,0.000
1773686990.624,2026-03-17 02:49:50,equipment_a,1,1,1,2.692,00:00:02,2.692,00:00:02,1,2026-03-17 02:49:49,0.660,1,0,2.031,1,2.031,0.660,1.371
